Customer_ID,Customer_Segment,Age_Group
C00201,Regular,45-54
C00202,New,35-44
C00203,New,55+
C00204,Loyal,45-54
C00205,Regular,18-24
C00206,New,25-34
C00207,New,25-34
C00208,Regular,35-44
C00209,New,25-34
C00210,New,35-44
C00211,Regular,25-34
C00212,Regular,18-24
C00213,Regular,18-24
C00214,New,25-34
C00215,Regular,35-44
C00216,New,25-34
C00217,Regular,35-44
C00218,Regular,18-24
C00219,Regular,18-24
C00220,Loyal,35-44
C00221,Regular,25-34
C00222,Regular,35-44
C00223,New,45-54
C00224,Regular,45-54
C00225,New,18-24
C00226,New,25-34
C00227,Loyal,35-44
C00228,Regular,35-44
C00229,Loyal,35-44
C00230,Regular,25-34
C00231,Regular,18-24
C00232,Regular,35-44
C00233,Regular,35-44
C00234,Regular,25-34
C00235,New,18-24
C00236,Regular,35-44
C00237,New,25-34
C00238,New,18-24
C00239,Regular,18-24
C00240,New,25-34
C00241,Loyal,35-44
C00242,Loyal,25-34
C00243,Loyal,18-24
C00244,Regular,18-24
C00245,New,25-34
C00246,Loyal,35-44
C00247,Regular,18-24
C00248,Loyal,25-34
C00249,Loyal,18-24
C00250,Loyal,25-34
C00251,New,18-24
C00252,Regular,18-24
C00253,Loyal,35-44
C00254,New,25-34
C00255,New,45-54
C00256,Regular,18-24
C00257,Loyal,18-24
C00258,Regular,25-34
C00259,Regular,35-44
C00260,New,25-34
C00261,Regular,25-34
C00262,Loyal,25-34
C00263,New,18-24
C00264,Regular,55+
C00265,Loyal,25-34
C00266,Regular,35-44
C00267,Regular,35-44
C00268,Regular,25-34
C00269,Regular,18-24
C00270,New,35-44
C00271,Loyal,18-24
C00272,Loyal,25-34
C00273,Loyal,35-44
C00274,Loyal,35-44
C00275,Regular,35-44
C00276,Regular,35-44
C00277,Regular,18-24
C00278,Regular,25-34
C00279,Regular,18-24
C00280,Regular,35-44
C00281,Loyal,55+
C00282,Regular,25-34
C00283,Regular,18-24
C00284,New,25-34
C00285,Regular,45-54
C00286,New,25-34
C00287,Regular,18-24
C00288,Regular,55+
C00289,New,45-54
C00290,Regular,18-24
C00291,New,45-54
C00292,New,25-34
C00293,Loyal,25-34
C00294,Regular,25-34
C00295,New,45-54
C00296,Regular,35-44
C00297,Regular,18-24
C00298,New,55+
C00299,Regular,18-24
C00300,New,35-44
C00301,New,35-44
C00302,Regular,18-24
C00303,Regular,18-24
C00304,Regular,45-54
C00305,Regular,25-34
C00306,Loyal,35-44
C00307,Regular,25-34
C00308,Regular,35-44
C00309,Regular,25-34
C00310,New,25-34
C00311,Regular,25-34
C00312,New,45-54
C00313,New,25-34
C00314,Loyal,25-34
C00315,Loyal,55+
C00316,Regular,35-44
C00317,Regular,18-24
C00318,New,55+
C00319,New,35-44
C00320,New,18-24
C00321,Regular,25-34
C00322,Regular,35-44
C00323,Regular,35-44
C00324,New,25-34
C00325,Loyal,25-34
C00326,Regular,25-34
C00327,Regular,35-44
C00328,Regular,18-24
C00329,Regular,18-24
C00330,New,35-44
C00331,Regular,35-44
C00332,Regular,25-34
C00333,New,25-34
C00334,New,25-34
C00335,New,25-34
C00336,New,55+
C00337,Loyal,35-44
C00338,Regular,25-34
C00339,Regular,25-34
C00340,New,25-34
C00341,Regular,35-44
C00342,Regular,25-34
C00343,New,45-54
C00344,Regular,35-44
C00345,Regular,25-34
C00346,Regular,45-54
C00347,Regular,35-44
C00348,New,35-44
C00349,Regular,55+
C00350,Regular,25-34
C00351,Regular,25-34
C00352,Loyal,45-54
C00353,Regular,35-44
C00354,New,45-54
C00355,New,18-24
C00356,Regular,35-44
C00357,New,18-24
C00358,Regular,25-34
C00359,Loyal,18-24
C00360,Regular,18-24
C00361,Regular,18-24
C00362,Regular,35-44
C00363,Regular,25-34
C00364,Regular,18-24
C00365,Loyal,25-34
C00366,Regular,18-24
C00367,Loyal,55+
C00368,Loyal,25-34
C00369,New,25-34
C00370,New,45-54
C00371,New,35-44
C00372,New,35-44
C00373,New,35-44
C00374,Regular,55+
C00375,New,25-34
C00376,New,55+
C00377,Loyal,45-54
C00378,New,35-44
C00379,Loyal,35-44
C00380,New,35-44
C00381,New,18-24
C00382,Regular,25-34
C00383,Regular,55+
C00384,Loyal,25-34
C00385,Regular,25-34
C00386,Loyal,35-44
C00387,New,25-34
C00388,New,18-24
C00389,Regular,35-44
C00390,Loyal,35-44
C00391,Loyal,18-24
C00392,Regular,55+
C00393,Regular,25-34
C00394,Regular,25-34
C00395,Regular,18-24
C00396,Loyal,35-44
C00397,Loyal,25-34
C00398,Regular,25-34
C00399,Regular,45-54
C00400,Regular,18-24
C00401,New,35-44
C00402,Loyal,25-34
C00403,Regular,55+
C00404,Loyal,35-44
C00405,Regular,18-24
C00406,Loyal,18-24
C00407,Regular,45-54
C00408,New,45-54
C00409,Loyal,25-34
C00410,New,35-44
C00411,New,25-34
C00412,Loyal,55+
C00413,Loyal,55+
C00414,Regular,55+
C00415,Regular,45-54
C00416,Regular,45-54
C00417,New,25-34
C00418,Regular,45-54
C00419,Regular,35-44
C00420,Regular,55+
C00421,Regular,25-34
C00422,Regular,18-24
C00423,New,35-44
C00424,Regular,35-44
C00425,New,25-34
C00426,Regular,25-34
C00427,Regular,35-44
C00428,Loyal,25-34
C00429,Regular,25-34
C00430,New,18-24
C00431,New,55+
C00432,Regular,35-44
C00433,Regular,18-24
C00434,New,35-44
C00435,New,35-44
C00436,Regular,18-24
C00437,New,25-34
C00438,Loyal,35-44
C00439,Regular,25-34
C00440,New,35-44
C00441,New,25-34
C00442,Loyal,18-24
C00443,Regular,55+
C00444,Regular,25-34
C00445,Loyal,35-44
C00446,Loyal,18-24
C00447,Loyal,25-34
C00448,Regular,25-34
C00449,Regular,18-24
C00450,New,25-34
C00451,Regular,18-24
C00452,Regular,25-34
C00453,Regular,35-44
C00454,Loyal,18-24
C00455,New,45-54
C00456,Regular,18-24
C00457,New,25-34
C00458,Regular,35-44
C00459,New,25-34
C00460,New,25-34
C00461,New,18-24
C00462,Regular,45-54
C00463,Regular,35-44
C00464,Regular,18-24
C00465,Loyal,25-34
C00466,Regular,45-54
C00467,New,25-34
C00468,Loyal,18-24
C00469,New,25-34
C00470,Loyal,25-34
C00471,New,25-34
C00472,Loyal,45-54
C00473,New,25-34
C00474,Loyal,25-34
C00475,Regular,45-54
C00476,Loyal,25-34
C00477,New,25-34
C00478,Regular,25-34
C00479,Loyal,35-44
C00480,Regular,25-34
C00481,Regular,25-34
C00482,Regular,55+
C00483,Regular,45-54
C00484,Regular,35-44
C00485,Regular,25-34
C00486,Loyal,25-34
C00487,New,18-24
C00488,New,25-34
C00489,Loyal,35-44
C00490,Loyal,25-34
C00491,Regular,45-54
C00492,Regular,18-24
C00493,New,25-34
C00494,New,35-44
C00495,Regular,25-34
C00496,Regular,45-54
C00497,Regular,55+
C00498,New,18-24
C00499,Loyal,18-24
C00500,Loyal,18-24
C00501,Regular,35-44
C00502,Regular,25-34
C00503,New,35-44
C00504,Loyal,25-34
C00505,Regular,35-44
C00506,New,35-44
C00507,Loyal,25-34
C00508,Loyal,25-34
C00509,Loyal,18-24
C00510,Regular,25-34
C00511,Regular,25-34
C00512,Regular,25-34
C00513,Loyal,45-54
C00514,Loyal,45-54
C00515,New,45-54
C00516,New,25-34
C00517,Regular,35-44
C00518,Loyal,25-34
C00519,Loyal,25-34
C00520,New,25-34
C00521,Regular,18-24
C00522,Regular,25-34
C00523,Loyal,25-34
C00524,Loyal,55+
C00525,Loyal,25-34
C00526,Regular,45-54
C00527,Regular,25-34
C00528,New,18-24
C00529,New,25-34
C00530,Loyal,35-44
C00531,Loyal,18-24
C00532,Loyal,25-34
C00533,Loyal,25-34
C00534,Regular,25-34
C00535,Regular,35-44
C00536,Loyal,25-34
C00537,Loyal,18-24
C00538,New,45-54
C00539,Regular,25-34
C00540,New,35-44
C00541,Loyal,35-44
C00542,Regular,55+
C00543,New,25-34
C00544,Regular,35-44
C00545,Regular,25-34
C00546,Regular,35-44
C00547,New,25-34
C00548,Regular,25-34
C00549,Regular,45-54
C00550,Regular,18-24
C00551,Regular,45-54
C00552,Loyal,45-54
C00553,Regular,25-34
C00554,Regular,25-34
C00555,Loyal,25-34
C00556,Regular,55+
C00557,New,18-24
C00558,New,35-44
C00559,Regular,35-44
C00560,Regular,55+
C00561,Regular,35-44
C00562,New,35-44
C00563,New,18-24
C00564,New,25-34
C00565,Regular,18-24
C00566,Regular,45-54
C00567,Regular,35-44
C00568,Regular,35-44
C00569,Loyal,35-44
C00570,Regular,25-34
C00571,Regular,18-24
C00572,Regular,25-34
C00573,Regular,18-24
C00574,Regular,35-44
C00575,Loyal,18-24
C00576,Loyal,35-44
C00577,New,35-44
C00578,Loyal,25-34
C00579,Regular,18-24
C00580,New,25-34
C00581,Regular,25-34
C00582,Loyal,35-44
C00583,Regular,18-24
C00584,Regular,45-54
C00585,Regular,35-44
C00586,New,18-24
C00587,New,35-44
C00588,New,35-44
C00589,New,35-44
C00590,New,18-24
C00591,New,18-24
C00592,Regular,25-34
C00593,New,25-34
C00594,Regular,35-44
C00595,Loyal,35-44
C00596,Regular,45-54
C00597,Regular,18-24
C00598,New,18-24
C00599,New,35-44
C00600,New,25-34
C00601,New,25-34
C00602,New,25-34
C00603,New,18-24
C00604,New,35-44
C00605,New,25-34
C00606,Regular,35-44
C00607,New,45-54
C00608,Regular,18-24
C00609,Regular,55+
C00610,Regular,25-34
C00611,New,45-54
C00612,Regular,25-34
C00613,Regular,35-44
C00614,New,25-34
C00615,Loyal,35-44
C00616,Loyal,35-44
C00617,New,25-34
C00618,New,45-54
C00619,Loyal,25-34
C00620,Regular,25-34
C00621,New,35-44
C00622,New,35-44
C00623,Regular,25-34
C00624,Regular,25-34
C00625,Regular,55+
C00626,Regular,35-44
C00627,Regular,18-24
C00628,Regular,25-34
C00629,New,55+
C00630,New,35-44
C00631,Regular,45-54
C00632,Loyal,25-34
C00633,Regular,35-44
C00634,Regular,35-44
C00635,New,25-34
C00636,Regular,25-34
C00637,Regular,35-44
C00638,New,25-34
C00639,New,45-54
C00640,Regular,45-54
C00641,New,45-54
C00642,Regular,45-54
C00643,New,25-34
C00644,Regular,25-34
C00645,New,45-54
C00646,Loyal,25-34
C00647,Regular,25-34
C00648,Regular,25-34
C00649,Regular,18-24
C00650,Regular,35-44
C00651,New,25-34
C00652,Regular,25-34
C00653,Regular,55+
C00654,Regular,35-44
C00655,Regular,35-44
C00656,New,35-44
C00657,New,45-54
C00658,Regular,35-44
C00659,Regular,35-44
C00660,Regular,55+
C00661,Regular,18-24
C00662,Loyal,55+
C00663,Regular,25-34
C00664,New,25-34
C00665,New,18-24
C00666,New,25-34
C00667,New,35-44
C00668,New,55+
C00669,New,55+
C00670,New,55+
C00671,New,25-34
C00672,Loyal,55+
C00673,New,25-34
C00674,Regular,45-54
C00675,Regular,25-34
C00676,Loyal,25-34
C00677,New,55+
C00678,Regular,55+
C00679,Loyal,35-44
C00680,Loyal,35-44
C00681,Loyal,18-24
C00682,New,35-44
C00683,New,35-44
C00684,Regular,18-24
C00685,Loyal,18-24
C00686,Regular,18-24
C00687,Regular,35-44
C00688,New,18-24
C00689,Regular,25-34
C00690,New,25-34
C00691,Regular,25-34
C00692,Regular,35-44
C00693,Regular,35-44
C00694,New,25-34
C00695,New,25-34
C00696,Regular,25-34
C00697,New,45-54
C00698,Regular,25-34
C00699,New,25-34
C00700,Regular,35-44
C00701,Regular,25-34
C00702,New,45-54
C00703,Regular,25-34
C00704,New,35-44
C00705,New,18-24
C00706,Loyal,25-34
C00707,Regular,25-34
C00708,Loyal,45-54
C00709,New,55+
C00710,Regular,25-34
C00711,Regular,45-54
C00712,Regular,35-44
C00713,Regular,55+
C00714,Regular,45-54
C00715,Regular,18-24
C00716,Loyal,35-44
C00717,Loyal,25-34
C00718,Loyal,18-24
C00719,New,25-34
C00720,Regular,45-54
C00721,Loyal,45-54
C00722,New,35-44
C00723,New,55+
C00724,Regular,45-54
C00725,Regular,18-24
C00726,Loyal,25-34
C00727,New,18-24
C00728,Regular,18-24
C00729,New,25-34
C00730,New,25-34
C00731,New,45-54
C00732,Loyal,45-54
C00733,Regular,35-44
C00734,Regular,45-54
C00735,Regular,25-34
C00736,Loyal,45-54
C00737,Regular,25-34
C00738,Loyal,25-34
C00739,Regular,45-54
C00740,Regular,25-34
C00741,Regular,25-34
C00742,New,25-34
C00743,Regular,35-44
C00744,Regular,55+
C00745,New,18-24
C00746,Loyal,45-54
C00747,Regular,18-24
C00748,Regular,25-34
C00749,Loyal,18-24
C00750,Regular,35-44
C00751,New,18-24
C00752,Loyal,25-34
C00753,Regular,25-34
C00754,Regular,18-24
C00755,New,35-44
C00756,Regular,25-34
C00757,Regular,25-34
C00758,Regular,25-34
C00759,Loyal,35-44
C00760,Regular,35-44
C00761,New,18-24
C00762,New,25-34
C00763,New,25-34
C00764,Regular,25-34
C00765,New,45-54
C00766,Regular,35-44
C00767,Regular,35-44
C00768,Loyal,25-34
C00769,Regular,35-44
C00770,Loyal,45-54
C00771,New,35-44
C00772,Loyal,35-44
C00773,New,35-44
C00774,Regular,25-34
C00775,Regular,25-34
C00776,New,35-44
C00777,New,25-34
C00778,Regular,35-44
C00779,Regular,45-54
C00780,Regular,45-54
C00781,Regular,25-34
C00782,Regular,18-24
C00783,New,18-24
C00784,Regular,35-44
C00785,New,45-54
C00786,Loyal,35-44
C00787,Regular,18-24
C00788,Regular,55+
C00789,Regular,55+
C00790,Loyal,25-34
C00791,New,35-44
C00792,Regular,35-44
C00793,Regular,35-44
C00794,Regular,55+
C00795,New,18-24
C00796,Loyal,35-44
C00797,Loyal,35-44
C00798,Regular,45-54
C00799,Regular,45-54
C00800,Loyal,55+
C00801,Regular,25-34
C00802,New,45-54
C00803,Regular,25-34
C00804,Regular,25-34
C00805,Regular,25-34
C00806,Regular,45-54
C00807,Loyal,55+
C00808,Loyal,25-34
C00809,Regular,18-24
C00810,New,45-54
C00811,Loyal,35-44
C00812,Loyal,55+
C00813,New,25-34
C00814,Loyal,18-24
C00815,Loyal,25-34
C00816,Regular,18-24
C00817,Regular,25-34
C00818,Regular,18-24
C00819,New,25-34
C00820,Regular,18-24
C00821,Loyal,55+
C00822,New,25-34
C00823,Regular,25-34
C00824,Regular,45-54
C00825,Regular,35-44
C00826,Loyal,35-44
C00827,Regular,35-44
C00828,Regular,45-54
C00829,Regular,45-54
C00830,Regular,35-44
C00831,New,45-54
C00832,Regular,25-34
C00833,New,25-34
C00834,New,45-54
C00835,Regular,25-34
C00836,Regular,45-54
C00837,Loyal,18-24
C00838,Regular,25-34
C00839,Regular,55+
C00840,Regular,25-34
C00841,New,55+
C00842,Regular,55+
C00843,New,45-54
C00844,Loyal,25-34
C00845,New,35-44
C00846,Regular,45-54
C00847,New,35-44
C00848,Loyal,35-44
C00849,Regular,55+
C00850,Regular,35-44
C00851,New,55+
C00852,Regular,18-24
C00853,New,18-24
C00854,Loyal,25-34
C00855,New,25-34
C00856,New,35-44
C00857,New,18-24
C00858,Regular,55+
C00859,Regular,25-34
C00860,New,25-34
C00861,Regular,25-34
C00862,Regular,25-34
C00863,Regular,18-24
C00864,Regular,18-24
C00865,Regular,35-44
C00866,Regular,18-24
C00867,New,25-34
C00868,New,35-44
C00869,Loyal,18-24
C00870,Loyal,25-34
C00871,Regular,18-24
C00872,New,25-34
C00873,Regular,35-44
C00874,Regular,18-24
C00875,New,45-54
C00876,New,45-54
C00877,Regular,18-24
C00878,Regular,55+
C00879,New,25-34
C00880,New,18-24
C00881,New,18-24
C00882,Regular,25-34
C00883,New,35-44
C00884,New,25-34
C00885,Regular,45-54
C00886,New,35-44
C00887,Regular,25-34
C00888,New,35-44
C00889,New,55+
C00890,New,18-24
C00891,Regular,25-34
C00892,Loyal,25-34
C00893,Loyal,25-34
C00894,Regular,25-34
C00895,Regular,25-34
C00896,New,35-44
C00897,New,35-44
C00898,Loyal,25-34
C00899,New,18-24
C00900,New,25-34
C00901,New,25-34
C00902,New,25-34
C00903,New,45-54
C00904,Regular,25-34
C00905,Regular,18-24
C00906,Loyal,25-34
C00907,Loyal,45-54
C00908,Regular,35-44
C00909,New,25-34
C00910,Regular,25-34
C00911,Regular,25-34
C00912,New,25-34
C00913,Regular,55+
C00914,Regular,35-44
C00915,Regular,35-44
C00916,Regular,25-34
C00917,New,25-34
C00918,Loyal,45-54
C00919,Regular,25-34
C00920,New,55+
C00921,Loyal,25-34
C00922,Regular,18-24
C00923,Loyal,35-44
C00924,Regular,18-24
C00925,Regular,25-34
C00926,New,25-34
C00927,New,35-44
C00928,Regular,25-34
C00929,Regular,18-24
C00930,New,35-44
C00931,New,25-34
C00932,Loyal,45-54
C00933,Loyal,25-34
C00934,Regular,35-44
C00935,New,25-34
C00936,New,35-44
C00937,New,35-44
C00938,Loyal,45-54
C00939,New,18-24
C00940,Regular,25-34
C00941,New,35-44
C00942,Regular,18-24
C00943,Regular,25-34
C00944,Loyal,55+
C00945,New,25-34
C00946,New,55+
C00947,New,18-24
C00948,Loyal,35-44
C00949,Loyal,35-44
C00950,Regular,25-34
C00951,Regular,55+
C00952,Regular,18-24
C00953,New,45-54
C00954,Loyal,35-44
C00955,Regular,25-34
C00956,Regular,45-54
C00957,Regular,25-34
C00958,New,45-54
C00959,New,25-34
C00960,Regular,45-54
C00961,New,35-44
C00962,Regular,18-24
C00963,New,35-44
C00964,Regular,18-24
C00965,New,25-34
C00966,Regular,18-24
C00967,Regular,18-24
C00968,New,25-34
C00969,Regular,25-34
C00970,Regular,25-34
C00971,Regular,25-34
C00972,Loyal,25-34
C00973,Regular,35-44
C00974,New,35-44
C00975,New,25-34
C00976,New,45-54
C00977,Regular,35-44
C00978,New,35-44
C00979,Regular,25-34
C00980,Regular,18-24
C00981,Regular,45-54
C00982,Regular,45-54
C00983,New,18-24
C00984,New,25-34
C00985,Regular,35-44
C00986,Regular,35-44
C00987,Regular,45-54
C00988,Regular,18-24
C00989,New,25-34
C00990,Loyal,18-24
C00991,Regular,25-34
C00992,Regular,18-24
C00993,New,45-54
C00994,Regular,25-34
C00995,Regular,45-54
C00996,New,18-24
C00997,Loyal,25-34
C00998,New,25-34
C00999,Loyal,25-34
C01000,Regular,45-54
C01001,New,25-34
C01002,Regular,25-34
C01003,Loyal,18-24
C01004,Regular,18-24
C01005,Loyal,35-44
C01006,Regular,25-34
C01007,Regular,35-44
C01008,Loyal,35-44
C01009,New,18-24
C01010,Regular,18-24
C01011,New,35-44
C01012,Loyal,35-44
C01013,Loyal,25-34
C01014,New,18-24
C01015,Regular,18-24
C01016,Loyal,25-34
C01017,New,18-24
C01018,Regular,25-34
C01019,Loyal,25-34
C01020,New,18-24
C01021,Regular,18-24
C01022,New,45-54
C01023,Loyal,35-44
C01024,Loyal,55+
C01025,Loyal,25-34
C01026,Regular,35-44
C01027,Loyal,25-34
C01028,Loyal,35-44
C01029,New,18-24
C01030,Loyal,18-24
C01031,New,55+
C01032,Regular,25-34
C01033,New,45-54
C01034,New,25-34
C01035,New,25-34
C01036,Regular,25-34
C01037,Regular,35-44
C01038,Regular,25-34
C01039,New,45-54
C01040,New,18-24
C01041,Regular,35-44
C01042,Regular,25-34
C01043,New,18-24
C01044,Regular,25-34
C01045,Loyal,25-34
C01046,Regular,18-24
C01047,New,25-34
C01048,New,25-34
C01049,Loyal,25-34
C01050,New,25-34
C01051,Loyal,18-24
C01052,Regular,18-24
C01053,Loyal,55+
C01054,Regular,55+
C01055,Loyal,25-34
C01056,Regular,55+
C01057,Regular,35-44
C01058,Regular,18-24
C01059,Regular,18-24
C01060,Regular,45-54
C01061,Loyal,35-44
C01062,Loyal,45-54
C01063,Regular,45-54
C01064,Regular,25-34
C01065,Regular,18-24
C01066,Regular,18-24
C01067,New,18-24
C01068,New,18-24
C01069,Regular,25-34
C01070,New,18-24
C01071,New,18-24
C01072,New,25-34
C01073,New,25-34
C01074,New,25-34
C01075,Loyal,25-34
C01076,Regular,35-44
C01077,Regular,55+
C01078,Regular,18-24
C01079,New,18-24
C01080,Loyal,45-54
C01081,Regular,25-34
C01082,New,35-44
C01083,Regular,25-34
C01084,Loyal,45-54
C01085,Loyal,45-54
C01086,Regular,35-44
C01087,Regular,18-24
C01088,New,45-54
C01089,Loyal,35-44
C01090,New,35-44
C01091,Loyal,18-24
C01092,Regular,35-44
C01093,Regular,18-24
C01094,Regular,25-34
C01095,New,25-34
C01096,New,25-34
C01097,New,35-44
C01098,New,35-44
C01099,Regular,18-24
C01100,Regular,35-44
C01101,New,45-54
C01102,Loyal,18-24
C01103,Loyal,35-44
C01104,Loyal,25-34
C01105,Loyal,25-34
C01106,New,25-34
C01107,Regular,25-34
C01108,Regular,18-24
C01109,Regular,55+
C01110,New,35-44
C01111,Loyal,25-34
C01112,New,25-34
C01113,New,25-34
C01114,Regular,25-34
C01115,Regular,25-34
C01116,Regular,25-34
C01117,New,25-34
C01118,Loyal,18-24
C01119,New,25-34
C01120,New,45-54
C01121,Loyal,18-24
C01122,Loyal,18-24
C01123,Loyal,25-34
C01124,Loyal,55+
C01125,Regular,45-54
C01126,Regular,35-44
C01127,New,45-54
C01128,Regular,25-34
C01129,Regular,55+
C01130,New,25-34
C01131,Regular,25-34
C01132,Regular,35-44
C01133,New,25-34
C01134,New,35-44
C01135,Regular,25-34
C01136,New,35-44
C01137,Loyal,25-34
C01138,Regular,18-24
C01139,Regular,45-54
C01140,Regular,45-54
C01141,Loyal,55+
C01142,Regular,35-44
C01143,Regular,35-44
C01144,Regular,25-34
C01145,New,18-24
C01146,Loyal,18-24
C01147,Regular,25-34
C01148,Regular,45-54
C01149,Loyal,18-24
C01150,Loyal,45-54
C01151,Regular,25-34
C01152,Loyal,35-44
C01153,Regular,18-24
C01154,Regular,25-34
C01155,Regular,55+
C01156,Regular,25-34
C01157,New,25-34
C01158,Loyal,18-24
C01159,Loyal,18-24
C01160,New,25-34
C01161,Loyal,35-44
C01162,New,25-34
C01163,Regular,25-34
C01164,Regular,18-24
C01165,New,45-54
C01166,Loyal,35-44
C01167,Loyal,18-24
C01168,Regular,25-34
C01169,New,18-24
C01170,New,35-44
C01171,Regular,35-44
C01172,Loyal,45-54
C01173,Regular,25-34
C01174,New,25-34
C01175,Regular,18-24
C01176,Regular,25-34
C01177,Regular,25-34
C01178,New,18-24
C01179,Regular,35-44
C01180,Regular,25-34
C01181,Loyal,45-54
C01182,Regular,25-34
C01183,Regular,45-54
C01184,Loyal,55+
C01185,New,45-54
C01186,Loyal,35-44
C01187,Regular,45-54
C01188,New,25-34
C01189,New,18-24
C01190,Regular,35-44
C01191,New,35-44
C01192,Regular,55+
C01193,Regular,25-34
C01194,Regular,25-34
C01195,New,35-44
C01196,Loyal,55+
C01197,Loyal,18-24
C01198,Loyal,25-34
C01199,Regular,25-34
C01200,New,18-24
C01201,Regular,18-24
C01202,New,25-34
C01203,New,45-54
C01204,Regular,18-24
C01205,Regular,25-34
C01206,Regular,35-44
C01207,Regular,55+
C01208,Regular,55+
C01209,New,25-34
C01210,Loyal,55+
C01211,Regular,18-24
C01212,Regular,35-44
C01213,New,35-44
C01214,Regular,25-34
C01215,Regular,25-34
C01216,New,18-24
