Order_ID,Order_Date,Order_Time,Customer_ID,Location_ID,Pizza_ID,Quantity,Unit_Price,Discount_Applied,Discount_Amount,Net_Sales,Order_Type,Payment_Method,Year,Month,Month_Name,Day_Name,Hour
O000011,2024-06-21,11:15:00,C00857,L004,P025,1,239.0,No,0.0,239.0,Delivery,Debit Card,2024,6,Jun,Friday,11
O000011,2024-06-21,11:15:00,C00857,L004,P024,1,459.0,No,0.0,459.0,Delivery,Debit Card,2024,6,Jun,Friday,11
O000011,2024-06-21,11:45:00,C00857,L004,P026,1,339.0,No,0.0,339.0,Delivery,Debit Card,2024,6,Jun,Friday,11
O000012,2024-09-04,17:30:00,C14471,L002,P019,1,279.0,Yes,55.8,223.2,Dine-in,UPI,2024,9,Sep,Wednesday,17
O000013,2024-05-19,18:45:00,C08399,L008,P024,1,459.0,No,0.0,459.0,Takeaway,UPI,2024,5,May,Sunday,18
O000014,2024-10-18,17:15:00,C11976,L003,P008,1,329.0,No,0.0,329.0,Takeaway,Debit Card,2024,10,Oct,Friday,17
O000014,2024-10-18,17:30:00,C11976,L003,P008,1,329.0,No,0.0,329.0,Takeaway,Debit Card,2024,10,Oct,Friday,17
O000014,2024-10-18,17:00:00,C11976,L003,P001,2,199.0,No,0.0,398.0,Takeaway,Debit Card,2024,10,Oct,Friday,17
O000014,2024-10-18,17:00:00,C11976,L003,P009,1,429.0,No,0.0,429.0,Takeaway,Debit Card,2024,10,Oct,Friday,17
O000015,2024-11-30,19:15:00,C11621,L003,P028,1,249.0,No,0.0,249.0,Delivery,UPI,2024,11,Nov,Saturday,19
O000015,2024-11-30,19:15:00,C11621,L003,P026,1,339.0,No,0.0,339.0,Delivery,UPI,2024,11,Nov,Saturday,19
O000016,2024-04-16,19:30:00,C15866,L008,P020,1,379.0,No,0.0,379.0,Dine-in,Wallet,2024,4,Apr,Tuesday,19
O000017,2024-12-20,15:00:00,C05965,L001,P012,1,439.0,No,0.0,439.0,Takeaway,Debit Card,2024,12,Dec,Friday,15
O000017,2024-12-20,15:00:00,C05965,L001,P001,2,199.0,No,0.0,398.0,Takeaway,Debit Card,2024,12,Dec,Friday,15
O000018,2024-08-24,21:45:00,C05657,L011,P024,1,459.0,No,0.0,459.0,Delivery,Credit Card,2024,8,Aug,Saturday,21
O000018,2024-08-24,21:30:00,C05657,L011,P033,1,489.0,No,0.0,489.0,Delivery,Credit Card,2024,8,Aug,Saturday,21
O000018,2024-08-24,21:30:00,C05657,L011,P024,1,459.0,No,0.0,459.0,Delivery,Credit Card,2024,8,Aug,Saturday,21
O000019,2024-11-21,15:45:00,C06556,L001,P025,2,239.0,No,0.0,478.0,Delivery,UPI,2024,11,Nov,Thursday,15
O000019,2024-11-21,15:45:00,C06556,L001,P014,1,369.0,No,0.0,369.0,Delivery,UPI,2024,11,Nov,Thursday,15
O000019,2024-11-21,15:15:00,C06556,L001,P032,1,389.0,No,0.0,389.0,Delivery,UPI,2024,11,Nov,Thursday,15
O000020,2024-02-09,18:15:00,C12211,L001,P014,1,369.0,No,0.0,369.0,Takeaway,Wallet,2024,2,Feb,Friday,18
O000020,2024-02-09,18:45:00,C12211,L001,P012,1,439.0,No,0.0,439.0,Takeaway,Wallet,2024,2,Feb,Friday,18
O000020,2024-02-09,18:00:00,C12211,L001,P015,1,469.0,No,0.0,469.0,Takeaway,Wallet,2024,2,Feb,Friday,18
O000020,2024-02-09,18:00:00,C12211,L001,P003,1,399.0,No,0.0,399.0,Takeaway,Wallet,2024,2,Feb,Friday,18
O000021,2024-04-05,21:00:00,C02887,L002,P004,1,249.0,No,0.0,249.0,Takeaway,UPI,2024,4,Apr,Friday,21
O000021,2024-04-05,21:00:00,C02887,L002,P029,1,349.0,No,0.0,349.0,Takeaway,UPI,2024,4,Apr,Friday,21
O000022,2024-05-01,20:00:00,C02745,L007,P015,2,469.0,Yes,187.6,750.4,Dine-in,Credit Card,2024,5,May,Wednesday,20
O000022,2024-05-01,20:15:00,C02745,L007,P016,1,219.0,Yes,21.9,197.1,Dine-in,Credit Card,2024,5,May,Wednesday,20
O000022,2024-05-01,20:15:00,C02745,L007,P002,1,299.0,Yes,29.9,269.1,Dine-in,Credit Card,2024,5,May,Wednesday,20
O000022,2024-05-01,20:15:00,C02745,L007,P019,1,279.0,Yes,41.85,237.15,Dine-in,Credit Card,2024,5,May,Wednesday,20
O000023,2024-04-24,18:00:00,C01478,L007,P032,1,389.0,No,0.0,389.0,Takeaway,UPI,2024,4,Apr,Wednesday,18
O000023,2024-04-24,18:15:00,C01478,L007,P007,1,229.0,No,0.0,229.0,Takeaway,UPI,2024,4,Apr,Wednesday,18
O000024,2024-03-06,21:15:00,C03811,L015,P021,1,479.0,No,0.0,479.0,Takeaway,UPI,2024,3,Mar,Wednesday,21
O000024,2024-03-06,21:45:00,C03811,L015,P010,1,239.0,No,0.0,239.0,Takeaway,UPI,2024,3,Mar,Wednesday,21
O000025,2024-11-17,20:45:00,C17523,L005,P016,1,219.0,No,0.0,219.0,Delivery,UPI,2024,11,Nov,Sunday,20
O000025,2024-11-17,20:00:00,C17523,L005,P006,1,449.0,No,0.0,449.0,Delivery,UPI,2024,11,Nov,Sunday,20
O000026,2024-06-07,18:30:00,C06972,L010,P031,2,289.0,No,0.0,578.0,Takeaway,Wallet,2024,6,Jun,Friday,18
O000026,2024-06-07,18:30:00,C06972,L010,P021,1,479.0,No,0.0,479.0,Takeaway,Wallet,2024,6,Jun,Friday,18
O000027,2024-12-19,22:15:00,C17986,L004,P023,1,359.0,No,0.0,359.0,Delivery,UPI,2024,12,Dec,Thursday,22
O000028,2024-08-09,14:45:00,C02475,L006,P028,1,249.0,Yes,12.45,236.55,Delivery,UPI,2024,8,Aug,Friday,14
O000028,2024-08-09,14:15:00,C02475,L006,P033,1,489.0,Yes,24.45,464.55,Delivery,UPI,2024,8,Aug,Friday,14
O000029,2024-02-22,17:15:00,C15138,L001,P029,1,349.0,Yes,52.35,296.65,Dine-in,UPI,2024,2,Feb,Thursday,17
O000030,2024-07-25,20:45:00,C11013,L009,P001,1,199.0,No,0.0,199.0,Delivery,Credit Card,2024,7,Jul,Thursday,20
O000030,2024-07-25,20:00:00,C11013,L009,P021,1,479.0,No,0.0,479.0,Delivery,Credit Card,2024,7,Jul,Thursday,20
O000031,2024-12-29,22:30:00,C00294,L007,P016,1,219.0,No,0.0,219.0,Delivery,UPI,2024,12,Dec,Sunday,22
O000032,2024-08-02,17:45:00,C12522,L006,P009,1,429.0,No,0.0,429.0,Delivery,Credit Card,2024,8,Aug,Friday,17
O000033,2024-01-01,19:15:00,C00611,L002,P003,1,399.0,Yes,39.9,359.1,Takeaway,UPI,2024,1,Jan,Monday,19
O000033,2024-01-01,19:30:00,C00611,L002,P001,2,199.0,Yes,19.9,378.1,Takeaway,UPI,2024,1,Jan,Monday,19
O000034,2024-12-09,11:45:00,C08622,L004,P007,1,229.0,No,0.0,229.0,Dine-in,UPI,2024,12,Dec,Monday,11
O000034,2024-12-09,11:45:00,C08622,L004,P005,2,349.0,No,0.0,698.0,Dine-in,UPI,2024,12,Dec,Monday,11
O000035,2024-03-30,17:30:00,C14206,L002,P008,1,329.0,No,0.0,329.0,Delivery,UPI,2024,3,Mar,Saturday,17
O000035,2024-03-30,17:15:00,C14206,L002,P002,1,299.0,No,0.0,299.0,Delivery,UPI,2024,3,Mar,Saturday,17
O000035,2024-03-30,17:45:00,C14206,L002,P014,1,369.0,No,0.0,369.0,Delivery,UPI,2024,3,Mar,Saturday,17
O000036,2024-09-17,17:30:00,C12972,L007,P010,1,239.0,Yes,35.85,203.15,Takeaway,Credit Card,2024,9,Sep,Tuesday,17
O000036,2024-09-17,17:30:00,C12972,L007,P004,1,249.0,Yes,24.9,224.1,Takeaway,Credit Card,2024,9,Sep,Tuesday,17
O000037,2024-07-14,21:00:00,C00940,L015,P010,1,239.0,No,0.0,239.0,Delivery,Cash,2024,7,Jul,Sunday,21
O000037,2024-07-14,21:00:00,C00940,L015,P022,1,259.0,No,0.0,259.0,Delivery,Cash,2024,7,Jul,Sunday,21
O000038,2024-05-03,13:00:00,C12920,L002,P032,1,389.0,No,0.0,389.0,Takeaway,UPI,2024,5,May,Friday,13
O000039,2024-04-17,13:30:00,C07924,L001,P026,1,339.0,Yes,33.9,305.1,Delivery,Credit Card,2024,4,Apr,Wednesday,13
O000039,2024-04-17,13:00:00,C07924,L001,P028,1,249.0,Yes,24.9,224.1,Delivery,Credit Card,2024,4,Apr,Wednesday,13
O000039,2024-04-17,13:15:00,C07924,L001,P030,2,449.0,Yes,44.9,853.1,Delivery,Credit Card,2024,4,Apr,Wednesday,13
O000040,2024-12-08,18:00:00,C10445,L003,P016,1,219.0,No,0.0,219.0,Dine-in,UPI,2024,12,Dec,Sunday,18
O000041,2024-12-02,18:15:00,C02295,L005,P002,1,299.0,No,0.0,299.0,Delivery,Credit Card,2024,12,Dec,Monday,18
O000041,2024-12-02,18:30:00,C02295,L005,P005,1,349.0,No,0.0,349.0,Delivery,Credit Card,2024,12,Dec,Monday,18
O000042,2024-07-13,15:00:00,C10049,L007,P009,1,429.0,No,0.0,429.0,Delivery,UPI,2024,7,Jul,Saturday,15
O000042,2024-07-13,15:45:00,C10049,L007,P028,1,249.0,No,0.0,249.0,Delivery,UPI,2024,7,Jul,Saturday,15
O000042,2024-07-13,15:30:00,C10049,L007,P027,1,439.0,No,0.0,439.0,Delivery,UPI,2024,7,Jul,Saturday,15
O000043,2024-04-07,16:45:00,C01026,L005,P017,1,319.0,Yes,31.9,287.1,Dine-in,UPI,2024,4,Apr,Sunday,16
O000043,2024-04-07,16:30:00,C01026,L005,P001,1,199.0,Yes,19.9,179.1,Dine-in,UPI,2024,4,Apr,Sunday,16
O000043,2024-04-07,16:00:00,C01026,L005,P013,1,269.0,Yes,13.45,255.55,Dine-in,UPI,2024,4,Apr,Sunday,16
O000044,2024-02-09,23:00:00,C04850,L015,P011,2,339.0,No,0.0,678.0,Delivery,Debit Card,2024,2,Feb,Friday,23
O000045,2024-02-29,19:30:00,C17778,L008,P017,1,319.0,No,0.0,319.0,Delivery,Credit Card,2024,2,Feb,Thursday,19
O000045,2024-02-29,19:30:00,C17778,L008,P006,1,449.0,No,0.0,449.0,Delivery,Credit Card,2024,2,Feb,Thursday,19
O000045,2024-02-29,19:00:00,C17778,L008,P014,1,369.0,No,0.0,369.0,Delivery,Credit Card,2024,2,Feb,Thursday,19
O000045,2024-02-29,19:45:00,C17778,L008,P001,1,199.0,No,0.0,199.0,Delivery,Credit Card,2024,2,Feb,Thursday,19
O000045,2024-02-29,19:00:00,C17778,L008,P032,1,389.0,No,0.0,389.0,Delivery,Credit Card,2024,2,Feb,Thursday,19
O000046,2024-07-16,13:00:00,C09298,L002,P023,1,359.0,No,0.0,359.0,Delivery,UPI,2024,7,Jul,Tuesday,13
O000046,2024-07-16,13:00:00,C09298,L002,P021,1,479.0,No,0.0,479.0,Delivery,UPI,2024,7,Jul,Tuesday,13
O000046,2024-07-16,13:30:00,C09298,L002,P005,2,349.0,No,0.0,698.0,Delivery,UPI,2024,7,Jul,Tuesday,13
O000046,2024-07-16,13:30:00,C09298,L002,P025,1,239.0,No,0.0,239.0,Delivery,UPI,2024,7,Jul,Tuesday,13
O000047,2024-04-26,12:30:00,C17344,L003,P019,1,279.0,No,0.0,279.0,Takeaway,Credit Card,2024,4,Apr,Friday,12
O000047,2024-04-26,12:45:00,C17344,L003,P030,1,449.0,No,0.0,449.0,Takeaway,Credit Card,2024,4,Apr,Friday,12
O000048,2024-01-17,12:45:00,C06895,L009,P006,2,449.0,No,0.0,898.0,Delivery,UPI,2024,1,Jan,Wednesday,12
O000048,2024-01-17,12:30:00,C06895,L009,P033,1,489.0,No,0.0,489.0,Delivery,UPI,2024,1,Jan,Wednesday,12
O000048,2024-01-17,12:45:00,C06895,L009,P033,1,489.0,No,0.0,489.0,Delivery,UPI,2024,1,Jan,Wednesday,12
O000049,2024-06-21,18:45:00,C15674,L011,P024,1,459.0,No,0.0,459.0,Delivery,Debit Card,2024,6,Jun,Friday,18
O000049,2024-06-21,18:45:00,C15674,L011,P009,1,429.0,No,0.0,429.0,Delivery,Debit Card,2024,6,Jun,Friday,18
O000049,2024-06-21,18:15:00,C15674,L011,P016,1,219.0,No,0.0,219.0,Delivery,Debit Card,2024,6,Jun,Friday,18
O000049,2024-06-21,18:45:00,C15674,L011,P016,2,219.0,No,0.0,438.0,Delivery,Debit Card,2024,6,Jun,Friday,18
O000050,2024-10-08,22:00:00,C13759,L005,P023,1,359.0,No,0.0,359.0,Delivery,Cash,2024,10,Oct,Tuesday,22
O000050,2024-10-08,22:30:00,C13759,L005,P013,1,269.0,No,0.0,269.0,Delivery,Cash,2024,10,Oct,Tuesday,22
O000051,2024-11-25,21:15:00,C16060,L004,P006,1,449.0,No,0.0,449.0,Dine-in,UPI,2024,11,Nov,Monday,21
O000051,2024-11-25,21:30:00,C16060,L004,P030,1,449.0,No,0.0,449.0,Dine-in,UPI,2024,11,Nov,Monday,21
O000051,2024-11-25,21:00:00,C16060,L004,P014,1,369.0,No,0.0,369.0,Dine-in,UPI,2024,11,Nov,Monday,21
O000051,2024-11-25,21:30:00,C16060,L004,P010,1,239.0,No,0.0,239.0,Dine-in,UPI,2024,11,Nov,Monday,21
O000051,2024-11-25,21:00:00,C16060,L004,P028,1,249.0,No,0.0,249.0,Dine-in,UPI,2024,11,Nov,Monday,21
O000052,2024-08-09,17:45:00,C04973,L002,P004,1,249.0,Yes,12.45,236.55,Delivery,Debit Card,2024,8,Aug,Friday,17
O000052,2024-08-09,17:30:00,C04973,L002,P020,1,379.0,Yes,18.95,360.05,Delivery,Debit Card,2024,8,Aug,Friday,17
O000052,2024-08-09,17:00:00,C04973,L002,P016,2,219.0,Yes,21.9,416.1,Delivery,Debit Card,2024,8,Aug,Friday,17
O000052,2024-08-09,17:45:00,C04973,L002,P031,1,289.0,Yes,14.45,274.55,Delivery,Debit Card,2024,8,Aug,Friday,17
O000052,2024-08-09,17:00:00,C04973,L002,P002,1,299.0,Yes,14.95,284.05,Delivery,Debit Card,2024,8,Aug,Friday,17
O000053,2024-09-30,21:30:00,C14755,L002,P015,1,469.0,Yes,23.45,445.55,Delivery,UPI,2024,9,Sep,Monday,21
O000053,2024-09-30,21:00:00,C14755,L002,P023,1,359.0,Yes,53.85,305.15,Delivery,UPI,2024,9,Sep,Monday,21
O000053,2024-09-30,21:00:00,C14755,L002,P029,1,349.0,Yes,17.45,331.55,Delivery,UPI,2024,9,Sep,Monday,21
O000054,2024-05-18,21:45:00,C08145,L007,P015,1,469.0,No,0.0,469.0,Delivery,UPI,2024,5,May,Saturday,21
O000055,2024-07-06,19:15:00,C13349,L001,P026,1,339.0,Yes,16.95,322.05,Delivery,Credit Card,2024,7,Jul,Saturday,19
O000055,2024-07-06,19:00:00,C13349,L001,P010,1,239.0,Yes,23.9,215.1,Delivery,Credit Card,2024,7,Jul,Saturday,19
O000056,2024-10-03,18:00:00,C07115,L006,P011,1,339.0,No,0.0,339.0,Takeaway,Credit Card,2024,10,Oct,Thursday,18
O000056,2024-10-03,18:15:00,C07115,L006,P028,1,249.0,No,0.0,249.0,Takeaway,Credit Card,2024,10,Oct,Thursday,18
O000056,2024-10-03,18:00:00,C07115,L006,P030,2,449.0,No,0.0,898.0,Takeaway,Credit Card,2024,10,Oct,Thursday,18
O000057,2024-10-02,15:30:00,C05311,L002,P004,1,249.0,No,0.0,249.0,Dine-in,Credit Card,2024,10,Oct,Wednesday,15
O000057,2024-10-02,15:45:00,C05311,L002,P008,1,329.0,No,0.0,329.0,Dine-in,Credit Card,2024,10,Oct,Wednesday,15
O000058,2024-06-09,16:00:00,C03056,L002,P010,1,239.0,Yes,11.95,227.05,Dine-in,Credit Card,2024,6,Jun,Sunday,16
O000058,2024-06-09,16:45:00,C03056,L002,P008,2,329.0,Yes,32.9,625.1,Dine-in,Credit Card,2024,6,Jun,Sunday,16
O000059,2024-07-24,17:45:00,C00692,L004,P009,1,429.0,No,0.0,429.0,Takeaway,Credit Card,2024,7,Jul,Wednesday,17
O000060,2024-12-06,21:15:00,C09106,L004,P014,1,369.0,No,0.0,369.0,Dine-in,UPI,2024,12,Dec,Friday,21
O000061,2024-08-27,19:30:00,C11628,L007,P025,1,239.0,Yes,11.95,227.05,Takeaway,UPI,2024,8,Aug,Tuesday,19
O000061,2024-08-27,19:15:00,C11628,L007,P019,2,279.0,Yes,27.9,530.1,Takeaway,UPI,2024,8,Aug,Tuesday,19
O000062,2024-08-31,15:45:00,C00276,L002,P006,1,449.0,No,0.0,449.0,Delivery,Wallet,2024,8,Aug,Saturday,15
O000062,2024-08-31,15:00:00,C00276,L002,P022,1,259.0,No,0.0,259.0,Delivery,Wallet,2024,8,Aug,Saturday,15
O000062,2024-08-31,15:45:00,C00276,L002,P015,1,469.0,No,0.0,469.0,Delivery,Wallet,2024,8,Aug,Saturday,15
O000062,2024-08-31,15:45:00,C00276,L002,P022,1,259.0,No,0.0,259.0,Delivery,Wallet,2024,8,Aug,Saturday,15
O000063,2024-10-21,13:30:00,C02747,L003,P004,1,249.0,No,0.0,249.0,Delivery,UPI,2024,10,Oct,Monday,13
O000064,2024-02-13,19:15:00,C00269,L002,P023,2,359.0,Yes,35.9,682.1,Delivery,Debit Card,2024,2,Feb,Tuesday,19
O000064,2024-02-13,19:45:00,C00269,L002,P014,1,369.0,Yes,18.45,350.55,Delivery,Debit Card,2024,2,Feb,Tuesday,19
O000064,2024-02-13,19:45:00,C00269,L002,P020,1,379.0,Yes,37.9,341.1,Delivery,Debit Card,2024,2,Feb,Tuesday,19
O000065,2024-07-17,20:15:00,C00917,L005,P016,1,219.0,Yes,10.95,208.05,Delivery,UPI,2024,7,Jul,Wednesday,20
O000065,2024-07-17,20:30:00,C00917,L005,P026,2,339.0,Yes,135.6,542.4,Delivery,UPI,2024,7,Jul,Wednesday,20
O000065,2024-07-17,20:00:00,C00917,L005,P018,1,419.0,Yes,41.9,377.1,Delivery,UPI,2024,7,Jul,Wednesday,20
O000066,2024-12-18,21:15:00,C03432,L002,P027,1,439.0,No,0.0,439.0,Delivery,Credit Card,2024,12,Dec,Wednesday,21
O000066,2024-12-18,21:30:00,C03432,L002,P029,1,349.0,No,0.0,349.0,Delivery,Credit Card,2024,12,Dec,Wednesday,21
O000067,2024-05-17,21:30:00,C16366,L011,P023,1,359.0,No,0.0,359.0,Takeaway,UPI,2024,5,May,Friday,21
O000068,2024-04-21,21:30:00,C04394,L001,P005,1,349.0,No,0.0,349.0,Delivery,UPI,2024,4,Apr,Sunday,21
O000068,2024-04-21,21:30:00,C04394,L001,P021,1,479.0,No,0.0,479.0,Delivery,UPI,2024,4,Apr,Sunday,21
O000068,2024-04-21,21:30:00,C04394,L001,P003,1,399.0,No,0.0,399.0,Delivery,UPI,2024,4,Apr,Sunday,21
O000069,2024-08-15,18:45:00,C03863,L005,P009,1,429.0,Yes,42.9,386.1,Delivery,Cash,2024,8,Aug,Thursday,18
O000069,2024-08-15,18:15:00,C03863,L005,P019,1,279.0,Yes,41.85,237.15,Delivery,Cash,2024,8,Aug,Thursday,18
O000069,2024-08-15,18:15:00,C03863,L005,P029,1,349.0,Yes,17.45,331.55,Delivery,Cash,2024,8,Aug,Thursday,18
O000069,2024-08-15,18:15:00,C03863,L005,P007,2,229.0,Yes,45.8,412.2,Delivery,Cash,2024,8,Aug,Thursday,18
O000070,2024-03-24,22:45:00,C12876,L007,P005,1,349.0,No,0.0,349.0,Dine-in,Cash,2024,3,Mar,Sunday,22
O000070,2024-03-24,22:30:00,C12876,L007,P021,1,479.0,No,0.0,479.0,Dine-in,Cash,2024,3,Mar,Sunday,22
O000070,2024-03-24,22:00:00,C12876,L007,P009,2,429.0,No,0.0,858.0,Dine-in,Cash,2024,3,Mar,Sunday,22
O000071,2024-07-29,18:45:00,C11378,L011,P030,2,449.0,No,0.0,898.0,Dine-in,Credit Card,2024,7,Jul,Monday,18
O000072,2024-02-29,15:15:00,C11753,L002,P006,1,449.0,Yes,22.45,426.55,Delivery,Wallet,2024,2,Feb,Thursday,15
O000072,2024-02-29,15:00:00,C11753,L002,P028,1,249.0,Yes,37.35,211.65,Delivery,Wallet,2024,2,Feb,Thursday,15
O000072,2024-02-29,15:45:00,C11753,L002,P019,1,279.0,Yes,27.9,251.1,Delivery,Wallet,2024,2,Feb,Thursday,15
O000073,2024-08-07,18:15:00,C11547,L007,P023,1,359.0,No,0.0,359.0,Takeaway,UPI,2024,8,Aug,Wednesday,18
O000073,2024-08-07,18:30:00,C11547,L007,P008,1,329.0,No,0.0,329.0,Takeaway,UPI,2024,8,Aug,Wednesday,18
O000073,2024-08-07,18:45:00,C11547,L007,P002,1,299.0,No,0.0,299.0,Takeaway,UPI,2024,8,Aug,Wednesday,18
O000074,2024-08-16,17:15:00,C05052,L007,P001,1,199.0,Yes,19.9,179.1,Delivery,UPI,2024,8,Aug,Friday,17
O000075,2024-06-07,18:00:00,C07118,L006,P018,1,419.0,Yes,41.9,377.1,Takeaway,Wallet,2024,6,Jun,Friday,18
O000076,2024-05-25,20:45:00,C02868,L010,P027,1,439.0,No,0.0,439.0,Dine-in,Credit Card,2024,5,May,Saturday,20
O000077,2024-04-03,20:30:00,C17253,L004,P002,1,299.0,No,0.0,299.0,Takeaway,Credit Card,2024,4,Apr,Wednesday,20
O000077,2024-04-03,20:00:00,C17253,L004,P022,1,259.0,No,0.0,259.0,Takeaway,Credit Card,2024,4,Apr,Wednesday,20
O000078,2024-05-05,16:15:00,C14517,L007,P022,2,259.0,No,0.0,518.0,Dine-in,UPI,2024,5,May,Sunday,16
O000078,2024-05-05,16:00:00,C14517,L007,P019,1,279.0,No,0.0,279.0,Dine-in,UPI,2024,5,May,Sunday,16
O000078,2024-05-05,16:00:00,C14517,L007,P021,2,479.0,No,0.0,958.0,Dine-in,UPI,2024,5,May,Sunday,16
O000079,2024-07-07,17:15:00,C02720,L002,P031,1,289.0,Yes,28.9,260.1,Delivery,UPI,2024,7,Jul,Sunday,17
O000080,2024-04-03,19:45:00,C08928,L014,P026,1,339.0,No,0.0,339.0,Delivery,UPI,2024,4,Apr,Wednesday,19
O000081,2024-10-20,13:00:00,C17352,L006,P030,1,449.0,No,0.0,449.0,Takeaway,Debit Card,2024,10,Oct,Sunday,13
O000081,2024-10-20,13:45:00,C17352,L006,P031,1,289.0,No,0.0,289.0,Takeaway,Debit Card,2024,10,Oct,Sunday,13
O000081,2024-10-20,13:00:00,C17352,L006,P032,1,389.0,No,0.0,389.0,Takeaway,Debit Card,2024,10,Oct,Sunday,13
O000082,2024-09-25,20:15:00,C12337,L008,P003,2,399.0,No,0.0,798.0,Takeaway,UPI,2024,9,Sep,Wednesday,20
O000083,2024-04-12,15:15:00,C03214,L003,P006,1,449.0,No,0.0,449.0,Dine-in,Debit Card,2024,4,Apr,Friday,15
O000083,2024-04-12,15:45:00,C03214,L003,P010,1,239.0,No,0.0,239.0,Dine-in,Debit Card,2024,4,Apr,Friday,15
O000083,2024-04-12,15:30:00,C03214,L003,P012,1,439.0,No,0.0,439.0,Dine-in,Debit Card,2024,4,Apr,Friday,15
O000083,2024-04-12,15:30:00,C03214,L003,P026,1,339.0,No,0.0,339.0,Dine-in,Debit Card,2024,4,Apr,Friday,15
O000084,2024-02-07,22:30:00,C05307,L004,P025,1,239.0,No,0.0,239.0,Dine-in,Cash,2024,2,Feb,Wednesday,22
O000084,2024-02-07,22:45:00,C05307,L004,P001,2,199.0,No,0.0,398.0,Dine-in,Cash,2024,2,Feb,Wednesday,22
O000085,2024-01-01,18:15:00,C02080,L002,P032,2,389.0,Yes,38.9,739.1,Delivery,Credit Card,2024,1,Jan,Monday,18
O000085,2024-01-01,18:45:00,C02080,L002,P002,1,299.0,Yes,14.95,284.05,Delivery,Credit Card,2024,1,Jan,Monday,18
O000085,2024-01-01,18:15:00,C02080,L002,P032,1,389.0,Yes,19.45,369.55,Delivery,Credit Card,2024,1,Jan,Monday,18
O000086,2024-08-13,16:30:00,C10968,L013,P018,1,419.0,Yes,20.95,398.05,Dine-in,Cash,2024,8,Aug,Tuesday,16
O000086,2024-08-13,16:15:00,C10968,L013,P010,2,239.0,Yes,71.7,406.3,Dine-in,Cash,2024,8,Aug,Tuesday,16
O000086,2024-08-13,16:15:00,C10968,L013,P025,1,239.0,Yes,35.85,203.15,Dine-in,Cash,2024,8,Aug,Tuesday,16
O000087,2024-03-21,20:00:00,C09110,L011,P001,1,199.0,Yes,19.9,179.1,Delivery,Credit Card,2024,3,Mar,Thursday,20
O000088,2024-01-06,19:15:00,C05013,L002,P005,1,349.0,No,0.0,349.0,Delivery,Credit Card,2024,1,Jan,Saturday,19
